sent_id	split	source	sentence	tokens_json
s22	eval	Baudhāyanaśrautasūtra	tat adhvaryave dadāti	[{"form": "tat", "kind": "pron", "lemma": "tad", "slot": ""}, {"form": "adhvaryave", "kind": "noun", "lemma": "adhvaryu", "slot": "dat:sg"}, {"form": "dadāti", "kind": "verb", "lemma": "dā", "slot": "3:sg"}]
s23	train	Bhāradvājagṛhyasūtra	atha khalu bahūni lakṣaṇāni bhavanti	[{"form": "atha", "kind": "ind", "lemma": "atha", "slot": ""}, {"form": "khalu", "kind": "ind", "lemma": "khalu", "slot": ""}, {"form": "bahūni", "kind": "adj", "lemma": "bahu", "slot": "n:nom:pl"}, {"form": "lakṣaṇāni", "kind": "noun", "lemma": "lakṣaṇa", "slot": "nom:pl"}, {"form": "bhavanti", "kind": "verb", "lemma": "bhū", "slot": "3:pl"}]
s24	eval	Bhāradvājaśrautasūtra	atra ājyam nirvapati	[{"form": "atra", "kind": "ind", "lemma": "atra", "slot": ""}, {"form": "ājyam", "kind": "noun", "lemma": "ājya", "slot": "acc:sg"}, {"form": "nirvapati", "kind": "verb", "lemma": "nirvap", "slot": "3:sg"}]
s25	train	Bhāradvājaśrautasūtra	śastram atra bhavati	[{"form": "śastram", "kind": "noun", "lemma": "śastra", "slot": "nom:sg"}, {"form": "atra", "kind": "ind", "lemma": "atra", "slot": ""}, {"form": "bhavati", "kind": "verb", "lemma": "bhū", "slot": "3:sg"}]
s26	train	Bṛhadāraṇyakopaniṣad	sarvam āyuḥ eti	[{"form": "sarvam", "kind": "adj", "lemma": "sarva", "slot": "n:acc:sg"}, {"form": "āyuḥ", "kind": "noun", "lemma": "āyus", "slot": "acc:sg"}, {"form": "eti", "kind": "verb", "lemma": "i", "slot": "3:sg"}]
s27	train	Bṛhadāraṇyakopaniṣad	kṣatre eva tat yaśaḥ dadhāti	[{"form": "kṣatre", "kind": "noun", "lemma": "kṣatra", "slot": "loc:sg"}, {"form": "eva", "kind": "ind", "lemma": "eva", "slot": ""}, {"form": "tat", "kind": "pron", "lemma": "tad", "slot": ""}, {"form": "yaśaḥ", "kind": "noun", "lemma": "yaśas", "slot": "acc:sg"}, {"form": "dadhāti", "kind": "verb", "lemma": "dhā", "slot": "3:sg"}]
s28	train	Bṛhadāraṇyakopaniṣad	sarvam hi devebhyaḥ annādyam prayacchati	[{"form": "sarvam", "kind": "adj", "lemma": "sarva", "slot": "n:acc:sg"}, {"form": "hi", "kind": "ind", "lemma": "hi", "slot": ""}, {"form": "devebhyaḥ", "kind": "noun", "lemma": "deva", "slot": "dat:pl"}, {"form": "annādyam", "kind": "noun", "lemma": "annādya", "slot": "acc:sg"}, {"form": "prayacchati", "kind": "verb", "lemma": "prayam", "slot": "3:sg"}]
s29	train	Bṛhadāraṇyakopaniṣad	hastābhyām hi karma karoti	[{"form": "hastābhyām", "kind": "noun", "lemma": "hasta", "slot": "ins:du"}, {"form": "hi", "kind": "ind", "lemma": "hi", "slot": ""}, {"form": "karma", "kind": "noun", "lemma": "karman", "slot": "acc:sg"}, {"form": "karoti", "kind": "verb", "lemma": "kṛ", "slot": "3:sg"}]
s30	eval	Bṛhadāraṇyakopaniṣad	hṛdayena hi satyam jānāti	[{"form": "hṛdayena", "kind": "noun", "lemma": "hṛdaya", "slot": "ins:sg"}, {"form": "hi", "kind": "ind", "lemma": "hi", "slot": ""}, {"form": "satyam", "kind": "noun", "lemma": "satya", "slot": "acc:sg"}, {"form": "jānāti", "kind": "verb", "lemma": "jñā", "slot": "3:sg"}]
s31	train	Bṛhadāraṇyakopaniṣad	saḥ aham bhagavate sahasram dadāmi	[{"form": "saḥ", "kind": "pron", "lemma": "tad", "slot": ""}, {"form": "aham", "kind": "pron", "lemma": "mad", "slot": ""}, {"form": "bhagavate", "kind": "noun", "lemma": "bhagavat", "slot": "dat:sg"}, {"form": "sahasram", "kind": "noun", "lemma": "sahasra", "slot": "acc:sg"}, {"form": "dadāmi", "kind": "verb", "lemma": "dā", "slot": "1:sg"}]
s32	eval	Bṛhadāraṇyakopaniṣad	saḥ ādityam āgacchati	[{"form": "saḥ", "kind": "pron", "lemma": "tad", "slot": ""}, {"form": "ādityam", "kind": "noun", "lemma": "āditya", "slot": "acc:sg"}, {"form": "āgacchati", "kind": "verb", "lemma": "āgam", "slot": "3:sg"}]
s33	train	Bṛhadāraṇyakopaniṣad	tasya agniḥ eva agniḥ bhavati	[{"form": "tasya", "kind": "pron", "lemma": "tad", "slot": ""}, {"form": "agniḥ", "kind": "noun", "lemma": "agni", "slot": "nom:sg"}, {"form": "eva", "kind": "ind", "lemma": "eva", "slot": ""}, {"form": "agniḥ", "kind": "noun", "lemma": "agni", "slot": "nom:sg"}, {"form": "bhavati", "kind": "verb", "lemma": "bhū", "slot": "3:sg"}]
s34	train	Carakasaṃhitā	āhārāt balam varṇaḥ ca vardhate	[{"form": "āhārāt", "kind": "noun", "lemma": "āhāra", "slot": "abl:sg"}, {"form": "balam", "kind": "noun", "lemma": "bala", "slot": "nom:sg"}, {"form": "varṇaḥ", "kind": "noun", "lemma": "varṇa", "slot": "nom:sg"}, {"form": "ca", "kind": "ind", "lemma": "ca", "slot": ""}, {"form": "vardhate", "kind": "verb", "lemma": "vṛdh", "slot": "3:sg"}]
s35	train	Carakasaṃhitā	na ca ātmā ātmānam janayati	[{"form": "na", "kind": "ind", "lemma": "na", "slot": ""}, {"form": "ca", "kind": "ind", "lemma": "ca", "slot": ""}, {"form": "ātmā", "kind": "noun", "lemma": "ātman", "slot": "nom:sg"}, {"form": "ātmānam", "kind": "noun", "lemma": "ātman", "slot": "acc:sg"}, {"form": "janayati", "kind": "verb", "lemma": "janay", "slot": "3:sg"}]
s36	eval	Carakasaṃhitā	labhante sukham aṅgāni balam varṇaḥ ca vardhate	[{"form": "labhante", "kind": "verb", "lemma": "labh", "slot": "3:pl"}, {"form": "sukham", "kind": "noun", "lemma": "sukha", "slot": "acc:sg"}, {"form": "aṅgāni", "kind": "noun", "lemma": "aṅga", "slot": "nom:pl"}, {"form": "balam", "kind": "noun", "lemma": "bala", "slot": "nom:sg"}, {"form": "varṇaḥ", "kind": "noun", "lemma": "varṇa", "slot": "nom:sg"}, {"form": "ca", "kind": "ind", "lemma": "ca", "slot": ""}, {"form": "vardhate", "kind": "verb", "lemma": "vṛdh", "slot": "3:sg"}]
s37	train	Chāndogyopaniṣad	tasyāḥ āhutyāḥ somaḥ rājā sambhavati	[{"form": "tasyāḥ", "kind": "pron", "lemma": "tad", "slot": ""}, {"form": "āhutyāḥ", "kind": "noun", "lemma": "āhuti", "slot": "abl:sg"}, {"form": "somaḥ", "kind": "noun", "lemma": "soma", "slot": "nom:sg"}, {"form": "rājā", "kind": "noun", "lemma": "rājan", "slot": "nom:sg"}, {"form": "sambhavati", "kind": "verb", "lemma": "sambhū", "slot": "3:sg"}]
s38	train	Chāndogyopaniṣad	tasyāḥ āhutyāḥ annam sambhavati	[{"form": "tasyāḥ", "kind": "pron", "lemma": "tad", "slot": ""}, {"form": "āhutyāḥ", "kind": "noun", "lemma": "āhuti", "slot": "abl:sg"}, {"form": "annam", "kind": "noun", "lemma": "anna", "slot": "nom:sg"}, {"form": "sambhavati", "kind": "verb", "lemma": "sambhū", "slot": "3:sg"}]
s39	train	Chāndogyopaniṣad	tasyāḥ āhutyāḥ retaḥ sambhavati	[{"form": "tasyāḥ", "kind": "pron", "lemma": "tad", "slot": ""}, {"form": "āhutyāḥ", "kind": "noun", "lemma": "āhuti", "slot": "abl:sg"}, {"form": "retaḥ", "kind": "noun", "lemma": "retas", "slot": "nom:sg"}, {"form": "sambhavati", "kind": "verb", "lemma": "sambhū", "slot": "3:sg"}]
s40	train	Chāndogyopaniṣad	tasyāḥ āhutyāḥ garbhaḥ sambhavati	[{"form": "tasyāḥ", "kind": "pron", "lemma": "tad", "slot": ""}, {"form": "āhutyāḥ", "kind": "noun", "lemma": "āhuti", "slot": "abl:sg"}, {"form": "garbhaḥ", "kind": "noun", "lemma": "garbha", "slot": "nom:sg"}, {"form": "sambhavati", "kind": "verb", "lemma": "sambhū", "slot": "3:sg"}]
s41	train	Chāndogyopaniṣad	tam devāḥ bhakṣayanti	[{"form": "tam", "kind": "pron", "lemma": "tad", "slot": ""}, {"form": "devāḥ", "kind": "noun", "lemma": "deva", "slot": "nom:pl"}, {"form": "bhakṣayanti", "kind": "verb", "lemma": "bhakṣay", "slot": "3:pl"}]
s42	train	Chāndogyopaniṣad	tat sarpiḥ bhavati	[{"form": "tat", "kind": "pron", "lemma": "tad", "slot": ""}, {"form": "sarpiḥ", "kind": "noun", "lemma": "sarpis", "slot": "nom:sg"}, {"form": "bhavati", "kind": "verb", "lemma": "bhū", "slot": "3:sg"}]
s43	train	Chāndogyopaniṣad	tat manaḥ bhavati	[{"form": "tat", "kind": "pron", "lemma": "tad", "slot": ""}, {"form": "manaḥ", "kind": "noun", "lemma": "manas", "slot": "nom:sg"}, {"form": "bhavati", "kind": "verb", "lemma": "bhū", "slot": "3:sg"}]
s44	train	Chāndogyopaniṣad	sā prāṇaḥ bhavati	[{"form": "sā", "kind": "pron", "lemma": "tad", "slot": ""}, {"form": "prāṇaḥ", "kind": "noun", "lemma": "prāṇa", "slot": "nom:sg"}, {"form": "bhavati", "kind": "verb", "lemma": "bhū", "slot": "3:sg"}]
s45	train	Chāndogyopaniṣad	saḥ samudraḥ eva bhavati	[{"form": "saḥ", "kind": "pron", "lemma": "tad", "slot": ""}, {"form": "samudraḥ", "kind": "noun", "lemma": "samudra", "slot": "nom:sg"}, {"form": "eva", "kind": "ind", "lemma": "eva", "slot": ""}, {"form": "bhavati", "kind": "verb", "lemma": "bhū", "slot": "3:sg"}]
s46	train	Chāndogyopaniṣad	tataḥ eva satyam ātmānam kurute	[{"form": "tataḥ", "kind": "ind", "lemma": "tataḥ", "slot": ""}, {"form": "eva", "kind": "ind", "lemma": "eva", "slot": ""}, {"form": "satyam", "kind": "noun", "lemma": "satya", "slot": "acc:sg"}, {"form": "ātmānam", "kind": "noun", "lemma": "ātman", "slot": "acc:sg"}, {"form": "kurute", "kind": "verb", "lemma": "kṛ", "slot": "3:sg"}]
s47	train	Chāndogyopaniṣad	balena lokaḥ tiṣṭhati	[{"form": "balena", "kind": "noun", "lemma": "bala", "slot": "ins:sg"}, {"form": "lokaḥ", "kind": "noun", "lemma": "loka", "slot": "nom:sg"}, {"form": "tiṣṭhati", "kind": "verb", "lemma": "sthā", "slot": "3:sg"}]
s48	train	Chāndogyopaniṣad	prāṇaḥ prāṇena yāti	[{"form": "prāṇaḥ", "kind": "noun", "lemma": "prāṇa", "slot": "nom:sg"}, {"form": "prāṇena", "kind": "noun", "lemma": "prāṇa", "slot": "ins:sg"}, {"form": "yāti", "kind": "verb", "lemma": "yā", "slot": "3:sg"}]
s49	train	Chāndogyopaniṣad	prāṇaḥ prāṇam dadāti	[{"form": "prāṇaḥ", "kind": "noun", "lemma": "prāṇa", "slot": "nom:sg"}, {"form": "prāṇam", "kind": "noun", "lemma": "prāṇa", "slot": "acc:sg"}, {"form": "dadāti", "kind": "verb", "lemma": "dā", "slot": "3:sg"}]
s50	train	Chāndogyopaniṣad	na aham evam bravīmi	[{"form": "na", "kind": "ind", "lemma": "na", "slot": ""}, {"form": "aham", "kind": "pron", "lemma": "mad", "slot": ""}, {"form": "evam", "kind": "ind", "lemma": "evam", "slot": ""}, {"form": "bravīmi", "kind": "verb", "lemma": "brū", "slot": "1:sg"}]
s51	train	Commentary on the Kāvyālaṃkāravṛtti	tām ekām eva kavayaḥ stuvanti	[{"form": "tām", "kind": "pron", "lemma": "tad", "slot": ""}, {"form": "ekām", "kind": "adj", "lemma": "eka", "slot": "f:acc:sg"}, {"form": "eva", "kind": "ind", "lemma": "eva", "slot": ""}, {"form": "kavayaḥ", "kind": "noun", "lemma": "kavi", "slot": "nom:pl"}, {"form": "stuvanti", "kind": "verb", "lemma": "stu", "slot": "3:pl"}]
s52	train	Daśakumāracarita	asmi aham tasya kanyā	[{"form": "asmi", "kind": "verb", "lemma": "as", "slot": "1:sg"}, {"form": "aham", "kind": "pron", "lemma": "mad", "slot": ""}, {"form": "tasya", "kind": "pron", "lemma": "tad", "slot": ""}, {"form": "kanyā", "kind": "noun", "lemma": "kanyā", "slot": "nom:sg"}]
s53	train	Daśakumāracarita	saḥ aham asmi	[{"form": "saḥ", "kind": "pron", "lemma": "tad", "slot": ""}, {"form": "aham", "kind": "pron", "lemma": "mad", "slot": ""}, {"form": "asmi", "kind": "verb", "lemma": "as", "slot": "1:sg"}]
s54	train	Divyāvadāna	sa kathayati putra bālaḥ tvam	[{"form": "sa", "kind": "pron", "lemma": "tad", "slot": ""}, {"form": "kathayati", "kind": "verb", "lemma": "kathay", "slot": "3:sg"}, {"form": "putra", "kind": "noun", "lemma": "putra", "slot": "voc:sg"}, {"form": "bālaḥ", "kind": "noun", "lemma": "bāla", "slot": "nom:sg"}, {"form": "tvam", "kind": "pron", "lemma": "tvad", "slot": ""}]
s55	train	Divyāvadāna	sa kathayati na aham kāmaiḥ arthī	[{"form": "sa", "kind": "pron", "lemma": "tad", "slot": ""}, {"form": "kathayati", "kind": "verb", "lemma": "kathay", "slot": "3:sg"}, {"form": "na", "kind": "ind", "lemma": "na", "slot": ""}, {"form": "aham", "kind": "pron", "lemma": "mad", "slot": ""}, {"form": "kāmaiḥ", "kind": "noun", "lemma": "kāma", "slot": "ins:pl"}, {"form": "arthī", "kind": "adj", "lemma": "arthin", "slot": "m:nom:sg"}]
s56	eval	Divyāvadāna	sahasram eva prayacchāmi iti	[{"form": "sahasram", "kind": "noun", "lemma": "sahasra", "slot": "acc:sg"}, {"form": "eva", "kind": "ind", "lemma": "eva", "slot": ""}, {"form": "prayacchāmi", "kind": "verb", "lemma": "prayam", "slot": "1:sg"}, {"form": "iti", "kind": "ind", "lemma": "iti", "slot": ""}]
s57	eval	Divyāvadāna	rājā api tathā eva kathayati	[{"form": "rājā", "kind": "noun", "lemma": "rājan", "slot": "nom:sg"}, {"form": "api", "kind": "ind", "lemma": "api", "slot": ""}, {"form": "tathā", "kind": "ind", "lemma": "tathā", "slot": ""}, {"form": "eva", "kind": "ind", "lemma": "eva", "slot": ""}, {"form": "kathayati", "kind": "verb", "lemma": "kathay", "slot": "3:sg"}]
s58	train	Divyāvadāna	saptamaḥ eva divasaḥ vartate	[{"form": "saptamaḥ", "kind": "adj", "lemma": "saptama", "slot": "m:nom:sg"}, {"form": "eva", "kind": "ind", "lemma": "eva", "slot": ""}, {"form": "divasaḥ", "kind": "noun", "lemma": "divasa", "slot": "nom:sg"}, {"form": "vartate", "kind": "verb", "lemma": "vṛt", "slot": "3:sg"}]
s59	train	Divyāvadāna	saḥ eva dvāre tiṣṭhati	[{"form": "saḥ", "kind": "pron", "lemma": "tad", "slot": ""}, {"form": "eva", "kind": "ind", "lemma": "eva", "slot": ""}, {"form": "dvāre", "kind": "noun", "lemma": "dvāra", "slot": "loc:sg"}, {"form": "tiṣṭhati", "kind": "verb", "lemma": "sthā", "slot": "3:sg"}]
s60	train	Garuḍapurāṇa	śūlam ca pāṇibhyām labhate sukham	[{"form": "śūlam", "kind": "noun", "lemma": "śūla", "slot": "acc:sg"}, {"form": "ca", "kind": "ind", "lemma": "ca", "slot": ""}, {"form": "pāṇibhyām", "kind": "noun", "lemma": "pāṇi", "slot": "ins:du"}, {"form": "labhate", "kind": "verb", "lemma": "labh", "slot": "3:sg"}, {"form": "sukham", "kind": "noun", "lemma": "sukha", "slot": "acc:sg"}]
s61	train	Gobhilagṛhyasūtra	patnyāḥ vratam bhavati iti	[{"form": "patnyāḥ", "kind": "noun", "lemma": "patnī", "slot": "gen:sg"}, {"form": "vratam", "kind": "noun", "lemma": "vrata", "slot": "nom:sg"}, {"form": "bhavati", "kind": "verb", "lemma": "bhū", "slot": "3:sg"}, {"form": "iti", "kind": "ind", "lemma": "iti", "slot": ""}]
s62	train	Gokarṇapurāṇasāraḥ	snānena tatra pāpāni naśyanti eva na saṃśayaḥ	[{"form": "snānena", "kind": "noun", "lemma": "snāna", "slot": "ins:sg"}, {"form": "tatra", "kind": "ind", "lemma": "tatra", "slot": ""}, {"form": "pāpāni", "kind": "noun", "lemma": "pāpa", "slot": "nom:pl"}, {"form": "naśyanti", "kind": "verb", "lemma": "naś", "slot": "3:pl"}, {"form": "eva", "kind": "ind", "lemma": "eva", "slot": ""}, {"form": "na", "kind": "ind", "lemma": "na", "slot": ""}, {"form": "saṃśayaḥ", "kind": "noun", "lemma": "saṃśaya", "slot": "nom:sg"}]
s63	train	Gopathabrāhmaṇa	tam te dadāmi	[{"form": "tam", "kind": "pron", "lemma": "tad", "slot": ""}, {"form": "te", "kind": "pron", "lemma": "tvad", "slot": ""}, {"form": "dadāmi", "kind": "verb", "lemma": "dā", "slot": "1:sg"}]
s64	train	Gopathabrāhmaṇa	manasā ca eva hi vācā ca yajñaḥ vartate	[{"form": "manasā", "kind": "noun", "lemma": "manas", "slot": "ins:sg"}, {"form": "ca", "kind": "ind", "lemma": "ca", "slot": ""}, {"form": "eva", "kind": "ind", "lemma": "eva", "slot": ""}, {"form": "hi", "kind": "ind", "lemma": "hi", "slot": ""}, {"form": "vācā", "kind": "noun", "lemma": "vāc", "slot": "ins:sg"}, {"form": "ca", "kind": "ind", "lemma": "ca", "slot": ""}, {"form": "yajñaḥ", "kind": "noun", "lemma": "yajña", "slot": "nom:sg"}, {"form": "vartate", "kind": "verb", "lemma": "vṛt", "slot": "3:sg"}]
s65	train	Gopathabrāhmaṇa	aditiḥ devī devatā bhavanti	[{"form": "aditiḥ", "kind": "noun", "lemma": "aditi", "slot": "nom:sg"}, {"form": "devī", "kind": "noun", "lemma": "devī", "slot": "nom:sg"}, {"form": "devatā", "kind": "noun", "lemma": "devatā", "slot": "nom:sg"}, {"form": "bhavanti", "kind": "verb", "lemma": "bhū", "slot": "3:pl"}]
