lemma	slp1_stem	kind	pada	trans	freq	gloss	attested_cells
yuj	ATHEM:{"3|Sing": "yuNkte", "3|Dual": "yuYjAte", "3|Plur": "yuYjate", "2|Sing": "yuNkze", "2|Dual": "yuYjATe", "2|Plur": "yuNgDve", "1|Sing": "yuYje", "1|Dual": "yuYjvahe", "1|Plur": "yuYjmahe"}	athem	A	1	361	yoke or join or fasten or harness	4
tap	tapa	them	P	0	352	give out heat	-1
sidh	siDya	them	P	0	351	be successful	-1
gā	gAya	them	P	1	350	sing	-1
nirvap	nirvapa	them	P	1	349	pour out	-1
prapad	prapadya	them	A	1	346	fall or drop down from	-1
utpad	utpadya	them	A	0	344	arise	-1
naś	naSya	them	P	0	344	be lost	-1
sambhū	samBava	them	P	0	335	be or come together	-1
pratipad	pratipadya	them	A	1	331	set foot upon	-1
śudh	SuDya	them	P	0	329	be cleared or cleansed or purified	-1
samardhay	samarDaya	them	P	1	325	cause to be abundantly furnished with	-1
anumantray	anumantraya	them	A	1	319	dismiss with a blessing	-1
pā	piba	them	P	1	313	drink	-1
vṛ	ATHEM:{"3|Sing": "vfRIte", "3|Dual": "vfRAte", "3|Plur": "vfRate", "2|Sing": "vfRIze", "2|Dual": "vfRATe", "2|Plur": "vfRIDve", "1|Sing": "vfRe", "1|Dual": "vfRIvahe", "1|Plur": "vfRImahe"}	athem	A	1	307	choose	5
udāhṛ	udAhara	them	P	0	306	set up	-1
vraj	vraja	them	P	0	306	go	-1
bhaj	Baja	them	A	1	305	divide	-1
rakṣ	rakza	them	P	1	299	guard	-1
dhāray	DAraya	them	P	1	295	hold	-1
saṃpreṣ	saMprezya	them	P	0	293	send	-1
ram	rama	them	A	0	289	stop	-1
sampad	sampadya	them	A	0	288	turn out well	-1
praviś	praviSa	them	P	1	284	enter	-1
mahīy	mahIya	them	A	0	283	rejoice	-1
śak	ATHEM:{"3|Sing": "Saknoti", "3|Dual": "SaknutaH", "3|Plur": "Saknuvanti", "2|Sing": "Saknozi", "2|Dual": "SaknuTaH", "2|Plur": "SaknuTa", "1|Sing": "Saknomi", "1|Dual": "SaknuvaH", "1|Plur": "SaknumaH"}	athem	P	0	282	be strong or powerful	7
ālabh	AlaBa	them	A	1	278	take hold of	-1
ruc	roca	them	A	0	278	shine	-1
utsah	utsaha	them	A	1	277	endure	-1
śuc	Soca	them	P	0	275	shine	-1
bhāṣ	BAza	them	A	1	270	speak	-1
upapad	upapadya	them	A	0	268	go towards or against	-1
dah	daha	them	P	1	267	burn	-1
smṛ	smara	them	P	1	264	remember	-1
kāmay	kAmaya	them	A	1	256	desire	-1
sṛj	sfja	them	P	1	255	let go or fly	-1
pratiṣṭhāpay	pratizWApaya	them	P	1	252	set up	-1
āgam	AgacCa	them	P	0	252	come	-1
nivṛt	nivarta	them	A	0	251	turn back	-1
ṛch	fcCa	them	P	1	242	go	-1
sad	sIda	them	P	0	236	sit down	-1
sambhṛ	saMBara	them	P	1	235	draw together	-1
śamay	Samaya	them	P	1	234	make quiet	-1
